"filename", "language", "JSON", "TypeScript", "Markdown", "YAML", "JSON with Comments", "SQL", "Properties", "JavaScript", "CSS", "Prisma", "HTML", "XML", "TypeScript JSX", "CSV", "comment", "blank", "total"
"/dev-arthur/Projects/Padel/client/src/components/custom/matchCard/styledMatchResult.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 0, 8, 13, 433
"/dev-arthur/Projects/Padel/client/src/components/custom/matchDatesTable/columns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 3, 95
"/dev-arthur/Projects/Padel/client/src/components/custom/matchDatesTable/matchDatesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 5, 18, 433
"/dev-arthur/Projects/Padel/client/src/components/custom/matchDatesTable/selectCategory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 53
"/dev-arthur/Projects/Padel/client/src/components/custom/matchDatesTable/selectCourt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 50
"/dev-arthur/Projects/Padel/client/src/components/custom/matchDatesTable/selectDoubles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 63
"/dev-arthur/Projects/Padel/client/src/components/custom/matchForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 11, 178
"/dev-arthur/Projects/Padel/client/src/components/custom/matchesCarousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 3, 46
"/dev-arthur/Projects/Padel/client/src/components/custom/matchesGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/dev-arthur/Projects/Padel/client/src/components/custom/placeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 13, 144
"/dev-arthur/Projects/Padel/client/src/components/custom/playerCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 2, 11, 94
"/dev-arthur/Projects/Padel/client/src/components/custom/playerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 13, 162
"/dev-arthur/Projects/Padel/client/src/components/custom/playerSelectByCategory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 9, 153
"/dev-arthur/Projects/Padel/client/src/components/custom/profileActivityCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/dev-arthur/Projects/Padel/client/src/components/custom/profileDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 25, 245
"/dev-arthur/Projects/Padel/client/src/components/custom/profileDoublesTable/profileDoublesColumns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 8, 6, 119
"/dev-arthur/Projects/Padel/client/src/components/custom/profileDoublesTable/profileDoublesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 100, 7, 228
"/dev-arthur/Projects/Padel/client/src/components/custom/profileDoublesTableCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"/dev-arthur/Projects/Padel/client/src/components/custom/profileEventsAttendedCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50
"/dev-arthur/Projects/Padel/client/src/components/custom/profileHeaderCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 2, 41
"/dev-arthur/Projects/Padel/client/src/components/custom/profileInvitesCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 2, 99
"/dev-arthur/Projects/Padel/client/src/components/custom/profileMatchesInfoCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 42
"/dev-arthur/Projects/Padel/client/src/components/custom/profileMatchesTable/profileMatchesColumns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 9, 149
"/dev-arthur/Projects/Padel/client/src/components/custom/profileMatchesTable/profileMatchesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 5, 126
"/dev-arthur/Projects/Padel/client/src/components/custom/profileMatchesTableCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"/dev-arthur/Projects/Padel/client/src/components/custom/profileMatchesTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 4, 80
"/dev-arthur/Projects/Padel/client/src/components/custom/profilePictureDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 6, 87
"/dev-arthur/Projects/Padel/client/src/components/custom/profilePictureForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 41, 15, 137
"/dev-arthur/Projects/Padel/client/src/components/custom/registerDoublesForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 4, 12, 114
"/dev-arthur/Projects/Padel/client/src/components/custom/registerLoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 411, 0, 20, 15, 446
"/dev-arthur/Projects/Padel/client/src/components/custom/rootSheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 4, 5, 250
"/dev-arthur/Projects/Padel/client/src/components/custom/selectCategories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"/dev-arthur/Projects/Padel/client/src/components/custom/signInAsPlayerForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 15, 227
"/dev-arthur/Projects/Padel/client/src/components/custom/updateEventForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 587, 0, 3, 24, 614
